IDfile,IDpersona,Classe
1000,MR049358,2
1001,101127,1
1002,97943,1
1003,MR049358,2
1004,MR049358,2
1005,MR049358,2
1006,MR049358,2
1007,MR049358,2
1008,MR049358,2
1009,MR049358,2
1010,MR049358,2
1011,MR049358,2
1012,MR049104B,2
1013,97943,1
1014,MR049104B,2
1015,MR049104B,2
1016,MR049104B,2
1017,MR049104B,2
1018,MR049453,2
1019,MR049453,2
1020,MR049453,2
1021,MR049453,2
1022,MR049453,2
1023,MR049453,2
1024,98241,1
1025,MR049453,2
1035,98241,1
1043,MR049453B,2
1044,MR049453B,2
1045,MR049453B,2
1046,98241,1
1047,MR049453B,2
1048,MR049453B,2
1049,MR049453B,2
1050,MR049453B,2
1051,MR049453B,2
1052,MR048294B,2
1053,MR048294B,2
1054,MR048294B,2
1055,MR048621B,2
1056,MR048621B,2
1057,98241,1
1058,MR050135B,2
1059,MR050135B,2
1060,MR050135B,2
1061,MR050135B,2
1062,MR050135B,2
1063,MR050135B,2
1064,MR050135B,2
1065,MR050135B,2
1066,MR050135B,2
1067,MR050135B,2
1068,98241,1
1069,MR050135B,2
1070,MR050135B,2
1071,MR050135B,2
1072,MR050135B,2
1079,98241,1
107,110518,3
1084,MR050791B,2
1085,MR050791B,2
1086,MR050791B,2
1087,MR050791B,2
1088,MR050791B,2
1089,MR050791B,2
108,110518,3
1090,99017,1
1091,MR050791B,2
1092,MR050791B,2
1093,MR050791B,2
1094,MR050791B,2
1098,MR026175C,2
1099,MR026175C,2
109,110518,3
10,112847,3
1100,MR026175C,2
1101,99017,1
1102,MR026175C,2
1103,MR026175C,2
1104,MR026175C,2
1105,MR026175C,2
1106,MR026175C,2
1107,MR026175C,2
1108,MR026175C,2
1109,MR026175C,2
110,110518,3
1110,MR051461,2
1111,MR051461,2
1112,100360,1
1113,101797,1
1115,MR051461,2
1116,MR051461,2
1117,MR051461,2
1118,MR051461,2
1119,MR051461,2
111,110518,3
1120,MR051586,2
1121,MR051586,2
1122,MR051586,2
1123,MR051586,2
1124,MR051586,2
1126,MR051586,2
1127,MR051586,2
1128,MR051461B,2
1129,MR051461B,2
112,110518,3
1130,MR051461B,2
1131,MR051461B,2
1132,MR051461B,2
1133,MR051644,2
1134,MR051644,2
1135,MR051644,2
1137,MR051644,2
1138,MR051644,2
1139,MR051644,2
113,101016,1
1140,MR051644,2
1141,MR051644,2
1142,MR051644,2
1143,MR051644,2
1144,MR051644,2
1145,MR051644,2
1146,MR051644,2
1147,99288,1
1148,MR051644,2
1149,MR051644,2
1150,MR051651,2
1151,MR051651,2
1152,MR051651,2
1153,MR051651,2
1154,MR051651,2
1155,MR051651,2
1156,MR051796,2
1157,MR051796,2
1158,99308,1
1159,MR051796,2
115,110537,3
1160,MR051796,2
1161,MR051796,2
1162,MR051796,2
1163,MR051796,2
1164,MR051651B,2
1165,MR051651B,2
1166,MR051651B,2
1167,MR051651B,2
1168,MR051651B,2
1169,99308,1
116,110537,3
1170,MR051651B,2
1178,MR051796B,2
1179,MR051796B,2
117,110537,3
1180,99308,1
1181,MR051796B,2
1182,MR052550,2
1183,MR052550,2
1184,MR052550,2
1185,MR052550,2
1186,MR051644C,2
1187,MR051644C,2
1188,MR051644C,2
1189,MR051644C,2
118,110537,3
1190,MR051644C,2
1191,99308,1
1192,MR051644C,2
1193,MR051644C,2
1194,MR051644C,2
1195,MR051644C,2
1196,MR051644C,2
1197,MR051644C,2
1198,MR051644C,2
1199,MR049942B,2
119,110537,3
11,112847,3
1200,MR049942B,2
1201,MR049942B,2
1202,99308,1
120,110537,3
1210,MR053110B,2
1211,MR053110B,2
1212,MR053110B,2
1213,100820,2
1214,MR053110B,2
1215,MR053110B,2
1216,MR053110B,2
121,110537,3
1221,MR054683,2
1222,MR054683,2
1223,MR054683,2
1224,101797,1
1225,100820,2
1226,MR054875,2
1227,MR054875,2
1228,MR054875,2
1229,MR054875,2
122,110993,3
1235,MR056144,2
1236,100360,1
1237,MR056144,2
1238,MR056144,2
123,110993,3
1246,MR029209E,2
1247,100360,1
1248,MR029209E,2
1249,MR029209E,2
124,110993,3
1250,MR029209E,2
1251,MR029209E,2
1252,MR029209E,2
1253,MR029209E,2
1254,MR029209E,2
1255,MR029209E,2
1256,MR053110E,2
1257,MR053110E,2
1258,100360,1
1259,MR053110E,2
125,108550,1
1260,MR053110E,2
1261,MR053110E,2
1262,MR053110E,2
1269,100360,1
126,110993,3
1271,MR031409B,2
